	MapID	Code	location	name_long	continent	economy	income_grp	index	date	new_cases	new_deaths	total_cases	total_deaths	Catog
0	004	AFG	Afghanistan	Afghanistan	Asia	7. Least developed region	5. Low income	117.0	2020-05-06	330.0	5.0	3224.0	95.0	100.0
1	248	ALD	Aland	Aland Islands	Europe	2. Developed region: nonG7	1. High income: OECD							nan
2	008	ALB	Albania	Albania	Europe	6. Developing region	4. Lower middle income	176.0	2020-05-06	17.0	0.0	820.0	31.0	50.0
3	012	DZA	Algeria	Algeria	Africa	6. Developing region	3. Upper middle income	299.0	2020-05-06	190.0	5.0	4838.0	470.0	500.0
4	016	ASM	American Samoa	American Samoa	Oceania	6. Developing region	3. Upper middle income							nan
5	020	AND	Andorra	Andorra	Europe	2. Developed region: nonG7	2. High income: nonOECD	353.0	2020-05-06	1.0	1.0	751.0	46.0	50.0
6	024	AGO	Angola	Angola	Africa	7. Least developed region	3. Upper middle income	399.0	2020-05-06	1.0	0.0	36.0	2.0	50.0
7	660	AIA	Anguilla	Anguilla	North America	6. Developing region	3. Upper middle income	440.0	2020-05-06	0.0	0.0	3.0	0.0	50.0
8	010	ATA	Antarctica	Antarctica	Antarctica	6. Developing region	2. High income: nonOECD							nan
9	028	ATG	Antigua and Barbuda	Antigua and Barbuda	North America	6. Developing region	3. Upper middle income	488.0	2020-05-06	0.0	0.0	25.0	3.0	50.0
10	032	ARG	Argentina	Argentina	South America	5. Emerging region: G20	3. Upper middle income	549.0	2020-05-06	133.0	4.0	5007.0	264.0	500.0
11	051	ARM	Armenia	Armenia	Asia	6. Developing region	4. Lower middle income	668.0	2020-05-06	112.0	1.0	2619.0	40.0	50.0
12	533	ABW	Aruba	Aruba	North America	6. Developing region	2. High income: nonOECD	713.0	2020-05-06	0.0	0.0	100.0	2.0	50.0
13	036	ATC	Ashmore and Cartier Is.	Ashmore and Cartier Islands	Oceania	7. Least developed region	5. Low income							nan
14	036	AUS	Australia	Australia	Oceania	2. Developed region: nonG7	1. High income: OECD	841.0	2020-05-06	24.0	1.0	6849.0	96.0	100.0
15	040	AUT	Austria	Austria	Europe	2. Developed region: nonG7	1. High income: OECD	969.0	2020-05-06	17.0	6.0	15586.0	606.0	1000.0
16	031	AZE	Azerbaijan	Azerbaijan	Asia	6. Developing region	3. Upper middle income	1090.0	2020-05-06	76.0	0.0	2060.0	26.0	50.0
17	044	BHS	Bahamas	Bahamas	North America	6. Developing region	2. High income: nonOECD	1140.0	2020-05-06	6.0	0.0	89.0	11.0	50.0
18	048	BHR	Bahrain	Bahrain	Asia	6. Developing region	2. High income: nonOECD	1267.0	2020-05-06	187.0	0.0	3720.0	8.0	50.0
19	050	BGD	Bangladesh	Bangladesh	Asia	7. Least developed region	5. Low income	1320.0	2020-05-06	786.0	1.0	10929.0	183.0	500.0
20	052	BRB	Barbados	Barbados	North America	6. Developing region	2. High income: nonOECD	1370.0	2020-05-06	0.0	0.0	82.0	7.0	50.0
21	112	BLR	Belarus	Belarus	Europe	6. Developing region	3. Upper middle income	1490.0	2020-05-06	861.0	4.0	18350.0	107.0	500.0
22	056	BEL	Belgium	Belgium	Europe	2. Developed region: nonG7	1. High income: OECD	1618.0	2020-05-06	242.0	92.0	50509.0	8016.0	10000.0
23	084	BLZ	Belize	Belize	North America	6. Developing region	4. Lower middle income	1662.0	2020-05-06	0.0	0.0	18.0	2.0	50.0
24	204	BEN	Benin	Benin	Africa	7. Least developed region	5. Low income	1713.0	2020-05-06	0.0	0.0	96.0	2.0	50.0
25	060	BMU	Bermuda	Bermuda	North America	2. Developed region: nonG7	2. High income: nonOECD	1761.0	2020-05-06	0.0	0.0	115.0	7.0	50.0
26	064	BTN	Bhutan	Bhutan	Asia	7. Least developed region	4. Lower middle income	1815.0	2020-05-06	0.0	0.0	7.0	0.0	50.0
27	068	BOL	Bolivia	Bolivia	South America	5. Emerging region: G20	4. Lower middle income	1870.0	2020-05-06	121.0	4.0	1802.0	86.0	100.0
28	070	BIH	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe	6. Developing region	3. Upper middle income	1960.0	2020-05-06	20.0	1.0	1946.0	79.0	100.0
29	072	BWA	Botswana	Botswana	Africa	6. Developing region	3. Upper middle income	1996.0	2020-05-06	0.0	0.0	23.0	1.0	50.0
30	086	IOT	Br. Indian Ocean Ter.	British Indian Ocean Territory	Seven seas (open ocean)	2. Developed region: nonG7	2. High income: nonOECD							nan
31	076	BRA	Brazil	Brazil	South America	3. Emerging region: BRIC	3. Upper middle income	2124.0	2020-05-06	6935.0	600.0	114715.0	7921.0	10000.0
32	092	VGB	British Virgin Islands	British Virgin Islands	North America	2. Developed region: nonG7	1. High income: OECD	2165.0	2020-05-06	0.0	0.0	7.0	1.0	50.0
33	096	BRN	Brunei	Brunei Darussalam	Asia	6. Developing region	2. High income: nonOECD	2222.0	2020-05-06	0.0	0.0	138.0	1.0	50.0
34	100	BGR	Bulgaria	Bulgaria	Europe	2. Developed region: nonG7	3. Upper middle income	2280.0	2020-05-06	37.0	0.0	1689.0	78.0	100.0
35	854	BFA	Burkina Faso	Burkina Faso	Africa	7. Least developed region	5. Low income	2335.0	2020-05-06	16.0	2.0	688.0	48.0	50.0
36	108	BDI	Burundi	Burundi	Africa	7. Least developed region	5. Low income	2371.0	2020-05-06	0.0	0.0	19.0	1.0	50.0
37	384	CIV	Cote d'Ivoire	Côte d'Ivoire	Africa	6. Developing region	4. Lower middle income	3287.0	2020-05-06	32.0	1.0	1464.0	18.0	50.0
38	116	KHM	Cambodia	Cambodia	Asia	7. Least developed region	5. Low income	2490.0	2020-05-06	0.0	0.0	122.0	0.0	50.0
39	120	CMR	Cameroon	Cameroon	Africa	6. Developing region	4. Lower middle income	2545.0	2020-05-06	0.0	0.0	2104.0	64.0	100.0
40	124	CAN	Canada	Canada	North America	1. Developed region: G7	1. High income: OECD	2673.0	2020-05-06	1274.0	189.0	62046.0	4043.0	5000.0
41	132	CPV	Cape Verde	Cape Verde	Africa	6. Developing region	4. Lower middle income	2720.0	2020-05-06	11.0	0.0	186.0	2.0	50.0
